,name,address,borough,source,validated_address
141,Kabab Bites,"369 Broome Street, New York, NY",Manhattan,Zabiha,"369 Broome St, New York, NY 10013, USA"
142,Souk & Sandwich,"117 6th Avenue, New York, NY",Manhattan,Zabiha,"117 6th Ave, New York, NY 10013, USA"
143,Indian Project,"243 West 38th Street, New York, NY",Manhattan,Zabiha,"243 W 38th St, New York, NY 10018, USA"
144,Balade Your Way,"144 West 37th Street, New York, NY",Manhattan,Zabiha,"144 W 37th St, New York, NY 10018, USA"
145,City Spice Café,"203 East 26th Street, New York, NY",Manhattan,Zabiha,"203 E 26th St, New York, NY 10010, USA"
146,Cava Grill,"143 4th Avenue, New York, NY",Manhattan,Zabiha,"143 4th Ave, New York, NY 10003, USA"
147,Fogo de Chão,"40 West 53rd Street, New York, NY",Manhattan,Zabiha,"40 W 53rd St, New York, NY 10019, USA"
148,Galata,"212 East 34th Street, New York, NY",Manhattan,Zabiha,"212 E 34th St, New York, NY 10016, USA"
149,Village Fried Chicken,"1739 Amsterdam Avenue, New York, NY",Manhattan,Zabiha,"1739 Amsterdam Ave, New York, NY 10031, USA"
150,Kottu House,"250 Broome Street, New York, NY",Manhattan,Zabiha,"250 Broome St, New York, NY 10002, USA"
151,Marc Forgione,"134 Reade Street, New York, NY",Manhattan,Zabiha,"134 Reade St, New York, NY 10013, USA"
152,Da Falafel Guys,"127 Rivington Street, New York, NY",Manhattan,Zabiha,"127 Rivington St, New York, NY 10002, USA"
153,Berber Street Food,"35 Carmine Street, New York, NY",Manhattan,Zabiha,"35 Carmine St, New York, NY 10014, USA"
154,Minetta Tavern,"113 Macdougal Street, New York, NY",Manhattan,Zabiha,"113 MacDougal St, New York, NY 10012, USA"
155,Sumela Mediterranean Café & Grill,"1606 1st Avenue, New York, NY",Manhattan,Zabiha,"1606 1st Avenue, New York, NY 10028, USA"
156,Cinnamon Garden,"328 East 6th Street, New York, NY",Manhattan,Zabiha,"328 E 6th St, New York, NY 10003, USA"
157,Top Thai,"235 Sullivan Street, New York, NY",Manhattan,Zabiha,"235 Sullivan St, New York, NY 10012, USA"
158,Tabouleh,"673 9th Avenue, New York, NY",Manhattan,Zabiha,"673 9th Ave, New York, NY 10036, USA"
159,Zeytin,"110 William Street, New York, NY",Manhattan,Zabiha,"110 William St, New York, NY 10038, USA"
160,Kusharista,"106 Macdougal Street, New York, NY",Manhattan,Zabiha,"106 MacDougal St, New York, NY 10012, USA"
161,Bali Kitchen,"128 East 4th Street, New York, NY",Manhattan,Zabiha,"128 E 4th St, New York, NY 10003, USA"
162,Salam Café,"104 West 13th Street, New York, NY",Manhattan,Zabiha,"104 W 13th St, New York, NY 10011, USA"
163,Byblos,"80 Madison Avenue, New York, NY",Manhattan,Zabiha,"80 Madison Ave, New York, NY 10016, USA"
164,Gardenia Terrace,"826 10th Avenue, New York, NY",Manhattan,Zabiha,"826 10th Ave, New York, NY 10019, USA"
165,Miraj Healthy Grill,"120 East 34th Street, New York, NY",Manhattan,Zabiha,"120 E 34th St, New York, NY 10016, USA"
166,Panorama,"820 Broadway, New York, NY",Manhattan,Zabiha,"820 Broadway, New York, NY 10003, USA"
167,Masala King,"64 West 34th Street, New York, NY",Manhattan,Zabiha,"64 W 34th St, New York, NY 10001, USA"
168,This is Gyro,"178 Church Street, Unit A, New York, NY",Manhattan,Zabiha,"178 Church St unit a, New York, NY 10013, USA"
169,NYU Lipton Dining Hall,"33 Washington Square West, New York, NY",Manhattan,Zabiha,"Hayden Residence Hall, 33 Washington Square W, New York, NY 10011, USA"
170,Kennedy Fried Chicken,"1316 5th Avenue, New York, NY",Manhattan,Zabiha,"1316 5th Ave, New York, NY 10026, USA"
171,Crown Fried Chicken,"1774 Lexington Avenue, Unit 2, New York, NY",Manhattan,Zabiha,"1774 Lexington Ave #2, New York, NY 10029, USA"
172,Cava Grill,"678 6th Avenue, New York, NY",Manhattan,Zabiha,"678 6th Ave, New York, NY 10010, USA"
173,Cava Grill,"325 Park Avenue South, New York, NY",Manhattan,Zabiha,"325 Park Ave S, New York, NY 10010, USA"
174,Cava Grill,"1385 Broadway, New York, NY",Manhattan,Zabiha,"1385 Broadway, New York, NY 10018, USA"
175,Cava Grill,"11 West 42nd Street, New York, NY",Manhattan,Zabiha,"11 W 42nd St, New York, NY 10036, USA"
176,Cava Grill,"50 Spring Street, New York, NY",Manhattan,Zabiha,"50 Spring St, New York, NY 10012, USA"
177,Afandi Asian Grill,"149 1st Avenue, New York, NY",Manhattan,Zabiha,"149 1st Avenue, New York, NY 10003, USA"
178,Accra,"2065 Adam Clayton Powell Jr. Blvd., New York, NY",Manhattan,Zabiha,"2065 Adam Clayton Powell Jr Blvd, New York, NY 10027, USA"
179,Skewr Kabob Kitchen,"34 East 23rd Street, New York, NY",Manhattan,Zabiha,"34 E 23rd St, New York, NY 10010, USA"
180,Teranga,"1280 5th Avenue, New York, NY",Manhattan,Zabiha,"1280 5th Ave, New York, NY 10029, USA"
181,Toum,"38 West 38th Street, New York, NY",Manhattan,Zabiha,"W 38th St, New York, NY, USA"
182,Lezzet,"132 East 61st Street, New York, NY",Manhattan,Zabiha,"132 E 61st St, New York, NY 10065, USA"
183,The Hummus & Pita Co.,"585 6th Avenue, New York, NY",Manhattan,Zabiha,"585 6th Ave, New York, NY 10011, USA"
184,The Hummus & Pita Co.,"79 Chambers Street, New York, NY",Manhattan,Zabiha,"79 Chambers St, New York, NY 10007, USA"
185,The Hummus & Pita Co.,"616 8th Avenue, New York, NY",Manhattan,Zabiha,"616 8th Ave, New York, NY 10018, USA"
186,Champion Pizza,"123 Essex Street, New York, NY",Manhattan,Zabiha,"123 Essex St, New York, NY 10002, USA"
187,"Aladdin Grill & Rice","736 West 181st Street, New York, NY",Manhattan,Zabiha,"736 W 181st St, New York, NY 10033, USA"
188,Afghan Kebab House,"764 9th Avenue, New York, NY",Manhattan,Zabiha,"764 9th Ave, New York, NY 10019, USA"
189,Cuisine of Pakistan,"478 9th Avenue, New York, NY",Manhattan,Zabiha,"478 9th Ave, New York, NY 10018, USA"
190,Omar's Mediterranean Grill,"154 East 55th Street #E, New York, NY",Manhattan,Zabiha,
191,Kati Roll Company,"229 East 53rd Street, New York, NY",Manhattan,Zabiha,"229 E 53rd St, New York, NY 10022, USA"
192,Bukhara Grill,"217 East 49th Street, New York, NY",Manhattan,Zabiha,"217 E 49th St, New York, NY 10017, USA"
193,Chandni,"13 West 29th Street, New York, NY",Manhattan,Zabiha,"13 W 29th St, New York, NY 10001, USA"
194,Rafiqi's Halal Food Cart,"768 Broadway, New York, NY",Manhattan,Zabiha,"768 Broadway, New York, NY 10003, USA"
195,Biryani Cart,"6th Avenue & West 46th Street, New York, NY",Manhattan,Zabiha,"6th Ave, New York, NY, USA"
196,KFC,"3645 Broadway, New York, NY",Manhattan,Zabiha,"3645 Broadway, New York, NY 10031, USA"
197,AnTalia,"17 West 45th Street, New York, NY",Manhattan,Zabiha,"17 W 45th St, New York, NY 10036, USA"
198,Khyber Pass,"34 St. Marks Place, New York, NY",Manhattan,Zabiha,"34 St Marks Pl, New York, NY 10003, USA"
199,Pakistan Tea House,"176 Church Street, New York, NY",Manhattan,Zabiha,"176 Church St, New York, NY 10013, USA"
200,Curry Hut,"534 9th Avenue, New York, NY",Manhattan,Zabiha,"534 9th Ave, New York, NY 10018, USA"
201,Big Arc Chicken,"233 1st Avenue, New York, NY",Manhattan,Zabiha,"233 1st Avenue, New York, NY 10003, USA"
202,Queen Sheeba,"317 West 141st Street, New York, NY",Manhattan,Zabiha,"317 W 141st St, New York, NY 10030, USA"
203,Kati Roll Company,"99 Macdougal Street, New York, NY",Manhattan,Zabiha,"99 MacDougal St, New York, NY 10012, USA"
204,Hudson Halal Food Cart,"250 Greenwich Street, New York, NY",Manhattan,Zabiha,"7 World Trade Center, 250 Greenwich St, New York, NY 10006, USA"
205,Sammi's Halal Cart,"West 4th Street & 6th Avenue, New York, NY",Manhattan,Zabiha,"West 4th Street Courts, 272 6th Ave, New York, NY 10012, USA"
206,Salt and Pepper,"139 West 33rd Street, New York, NY",Manhattan,Zabiha,"139 W 33rd St, New York, NY 10001, USA"
207,No Pork Halal Kitchen,"2135 2nd Avenue, New York, NY",Manhattan,Zabiha,"2135 2nd Ave, New York, NY 10029, USA"
208,Haandi,"113 Lexington Avenue, New York, NY",Manhattan,Zabiha,"113 Lexington Ave, New York, NY 10016, USA"
209,Halal Chicken at Columbia U,"116th Street and Broadway, New York, NY",Manhattan,Zabiha,"Broadway & W 116th St, New York, NY 10027, USA"
210,Halal Cart Vendor,"Water Street at Pearl Street, New York, NY",Manhattan,Zabiha,"Pearl St & Water St, New York, NY 10038, USA"
211,Halal Village,"35 First Avenue, New York, NY",Manhattan,Zabiha,"35 1st Avenue, New York, NY 10003, USA"
212,Chicken Guy Cart,"Haven Avenue at Fort Washington Avenue, New York, NY",Manhattan,Zabiha,"Fort Washington Ave & Haven Ave, New York, NY 10032, USA"
213,Sammy's Halal Cart,"West 4th & Broadway, New York, NY",Manhattan,Zabiha,"West 4th Street, New York, NY, USA"
214,Kimmel Market Place,"60 Washington Square South, New York, NY",Manhattan,Zabiha,"60 Washington Square S, New York, NY 10012, USA"
215,Halal Cart,"Varick Street & Canal Street, New York, NY",Manhattan,Zabiha,"Varick St, New York, NY, USA"
