name,platform_id,url,total_review_count,address,id,image_url,lat,lng,score
Istanbul Turkish Cafe,t6klR5QA2oAWhKFZulBnkQ,https://www.yelp.com/biz/istanbul-turkish-cafe-brooklyn?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,374.0,"2202 86th St,Brooklyn, NY 11214",5225,https://s3-media2.fl.yelpcdn.com/bphoto/sGG8rQWNPuBiF-mumqmPzQ/o.jpg,40.6016,-73.9939,2
Halal Cart,ERwi6zypIFHbD7RS51bhVg,https://www.yelp.com/biz/halal-cart-brooklyn-9?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,5.0,"86th St,Brooklyn, NY",5236,https://s3-media4.fl.yelpcdn.com/bphoto/FlBnti087fR1CMS3QQGheg/o.jpg,40.6216,-74.026,2
Harway Pizza Gyro Falafel,SyUICRc35cy9c47xNXtdlg,https://www.yelp.com/biz/harway-pizza-gyro-falafel-brooklyn?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,61.0,"2863 Harway Ave,Brooklyn, NY 11214",5242,https://s3-media2.fl.yelpcdn.com/bphoto/3rIunPnz5wgO0Ko4Qlaj9Q/o.jpg,40.5877,-73.9838,5
China Pagoda,BBTri0ccF_Va5aODuQOfOA,https://www.yelp.com/biz/china-pagoda-brooklyn?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,29.0,"6918 5th Ave,Brooklyn, NY 11209",5244,https://s3-media2.fl.yelpcdn.com/bphoto/1KlO-dZ05CXxM-0wA0clJg/o.jpg,40.6331,-74.0214,2
Bab Alhara,_mH0rO335zjGd1ZDNuk1Zg,https://www.yelp.com/biz/bab-alhara-brooklyn-2?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,16.0,"376 86th St,Brooklyn, NY 11209",5252,https://s3-media1.fl.yelpcdn.com/bphoto/4f_P5qQw7bUIJ9lLRxfOvQ/o.jpg,40.6228,-74.029,3
Lavash,DJCEf0IydLQ-CRKe5tngZA,https://www.yelp.com/biz/lavash-brooklyn-3?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,19.0,"49 Street And 10 Th Ave,Brooklyn, NY 11220",5256,https://s3-media1.fl.yelpcdn.com/bphoto/9_MCgGQixs4HeJYLKLHxbA/o.jpg,40.639,-73.9987,2
Kings Gourmet Food,U0drEJB0V_ffS-_q8wW4jQ,https://www.yelp.com/biz/kings-gourmet-food-brooklyn?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,44.0,"1508 Kings Hwy,Brooklyn, NY 11229",5261,https://s3-media2.fl.yelpcdn.com/bphoto/KniepXB6M3C-wY88Nhxq7Q/o.jpg,40.6074,-73.9575,4
Middle Eastern Halal Food,ZOI9FAaWacE3ewTQD3ZVmg,https://www.yelp.com/biz/middle-eastern-halal-food-brooklyn-6?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,9.0,"6900 4th Ave,Brooklyn, NY 11209",5263,https://s3-media2.fl.yelpcdn.com/bphoto/EKjpG0xcTQKIF0KNuQc19g/o.jpg,40.6345,-74.0239,1
Indian Food & Falafel,SJ6gBwqF219nV6dAZBt93Q,https://www.yelp.com/biz/indian-food-and-falafel-bay-ridge?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,28.0,"6742 5th Ave,Bay Ridge, NY 11220",5265,https://s3-media2.fl.yelpcdn.com/bphoto/lxpuLiruge559t7LdyY6wQ/o.jpg,40.6346,-74.021,2
Fefo Food,Tn7WlhQXh5d4Z1YotMIibA,https://www.yelp.com/biz/fefo-food-new-york?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,11.0,"44 W 4th St,New York, NY 10012",5871,https://s3-media4.fl.yelpcdn.com/bphoto/RtwlAEBttQfA-fWdLw-pWA/o.jpg,40.7294,-73.9963,4
New York Fried Chicken,T5KeFYeWoSn9u19EyLYVXQ,https://www.yelp.com/biz/new-york-fried-chicken-jersey-city?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,15.0,"2821 John F Kennedy Blvd,Jersey City, NJ 07306",5877,https://s3-media2.fl.yelpcdn.com/bphoto/hNoQE6rhbmG2haakBSecUQ/o.jpg,40.7319,-74.0667,4
